divu: 1/1 = 1	divs: 1/1 = 1
divu: 3302/205 = 16	divs: 3302/205 = 16
modu: 3302%205 = 22	mods: 3302%205 = 22
divu: 47158/65312 = 0	divs: -18378/-224 = 82
modu: 47158%65312 = 47158	mods: -18378%-224 = -10
divu: 390/65068 = 0	divs: 390/-468 = 0
modu: 390%65068 = 390	mods: 390%-468 = 390
divu: 10454/65263 = 0	divs: 10454/-273 = -38
modu: 10454%65263 = 10454	mods: 10454%-273 = 80
divu: 28198/65130 = 0	divs: 28198/-406 = -69
modu: 28198%65130 = 28198	mods: 28198%-406 = 184
divu: 4470/413 = 10	divs: 4470/413 = 10
modu: 4470%413 = 340	mods: 4470%413 = 340
divu: 21190/393 = 53	divs: 21190/393 = 53
modu: 21190%393 = 361	mods: 21190%393 = 361
divu: 29206/65324 = 0	divs: 29206/-212 = -137
modu: 29206%65324 = 29206	mods: 29206%-212 = 162
divu: 44902/65415 = 0	divs: -20634/-121 = 170
modu: 44902%65415 = 44902	mods: -20634%-121 = -64
divu: 19126/65434 = 0	divs: 19126/-102 = -187
modu: 19126%65434 = 19126	mods: 19126%-102 = 52
divu: 33798/102 = 331	divs: -31738/102 = -311
modu: 33798%102 = 36	mods: -31738%102 = -16
divu: 39766/65257 = 0	divs: -25770/-279 = 92
modu: 39766%65257 = 39766	mods: -25770%-279 = -102
divu: 53414/36 = 1483	divs: -12122/36 = -336
modu: 53414%36 = 26	mods: -12122%36 = -26
divu: 25590/279 = 91	divs: 25590/279 = 91
modu: 25590%279 = 201	mods: 25590%279 = 201
divu: 38214/65219 = 0	divs: -27322/-317 = 86
modu: 38214%65219 = 38214	mods: -27322%-317 = -60
divu: 42134/65062 = 0	divs: -23402/-474 = 49
modu: 42134%65062 = 42134	mods: -23402%-474 = -176
divu: 53734/65 = 826	divs: -11802/65 = -181
modu: 53734%65 = 44	mods: -11802%65 = -37
divu: 23862/65044 = 0	divs: 23862/-492 = -48
modu: 23862%65044 = 23862	mods: 23862%-492 = 246
divu: 34438/160 = 215	divs: -31098/160 = -194
modu: 34438%160 = 38	mods: -31098%160 = -58
divu: 36310/227 = 159	divs: -29226/227 = -128
modu: 36310%227 = 217	mods: -29226%227 = -170
divu: 45862/65502 = 0	divs: -19674/-34 = 578
modu: 45862%65502 = 45862	mods: -19674%-34 = -22
divu: 13942/65169 = 0	divs: 13942/-367 = -37
modu: 13942%65169 = 13942	mods: 13942%-367 = 363
divu: 22470/509 = 44	divs: 22470/509 = 44
modu: 22470%509 = 74	mods: 22470%509 = 74
divu: 22294/65312 = 0	divs: 22294/-224 = -99
modu: 22294%65312 = 22294	mods: 22294%-224 = 118
divu: 29798/65275 = 0	divs: 29798/-261 = -114
modu: 29798%65275 = 29798	mods: 29798%-261 = 44
divu: 61366/65166 = 0	divs: -4170/-370 = 11
modu: 61366%65166 = 61366	mods: -4170%-370 = -100
divu: 2310/65242 = 0	divs: 2310/-294 = -7
modu: 2310%65242 = 2310	mods: 2310%-294 = 252
divu: 86/221 = 0	divs: 86/221 = 0
modu: 86%221 = 86	mods: 86%221 = 86
divu: 5542/408 = 13	divs: 5542/408 = 13
modu: 5542%408 = 238	mods: 5542%408 = 238
divu: 35062/65035 = 0	divs: -30474/-501 = 60
modu: 35062%65035 = 35062	mods: -30474%-501 = -414
divu: 39494/65335 = 0	divs: -26042/-201 = 129
modu: 39494%65335 = 39494	mods: -26042%-201 = -113
divu: 35222/65050 = 0	divs: -30314/-486 = 62
modu: 35222%65050 = 35222	mods: -30314%-486 = -182
divu: 38630/65461 = 0	divs: -26906/-75 = 358
modu: 38630%65461 = 38630	mods: -26906%-75 = -56
divu: 566/264 = 2	divs: 566/264 = 2
modu: 566%264 = 38	mods: 566%264 = 38
divu: 2950/65300 = 0	divs: 2950/-236 = -12
modu: 2950%65300 = 2950	mods: 2950%-236 = 118
divu: 62166/65239 = 0	divs: -3370/-297 = 11
modu: 62166%65239 = 62166	mods: -3370%-297 = -103
divu: 63526/338 = 187	divs: -2010/338 = -5
modu: 63526%338 = 320	mods: -2010%338 = -320
divu: 23414/65413 = 0	divs: 23414/-123 = -190
modu: 23414%65413 = 23414	mods: 23414%-123 = 44
divu: 23750/65137 = 0	divs: 23750/-399 = -59
modu: 23750%65137 = 23750	mods: 23750%-399 = 209
divu: 15382/65300 = 0	divs: 15382/-236 = -65
modu: 15382%65300 = 15382	mods: 15382%-236 = 42
divu: 14694/65135 = 0	divs: 14694/-401 = -36
modu: 14694%65135 = 14694	mods: 14694%-401 = 258
divu: 38070/386 = 98	divs: -27466/386 = -71
modu: 38070%386 = 242	mods: -27466%386 = -60
divu: 36358/334 = 108	divs: -29178/334 = -87
modu: 36358%334 = 286	mods: -29178%334 = -120
divu: 25942/65233 = 0	divs: 25942/-303 = -85
modu: 25942%65233 = 25942	mods: 25942%-303 = 187
divu: 23206/65292 = 0	divs: 23206/-244 = -95
modu: 23206%65292 = 23206	mods: 23206%-244 = 26
divu: 44534/65279 = 0	divs: -21002/-257 = 81
modu: 44534%65279 = 44534	mods: -21002%-257 = -185
divu: 40774/65451 = 0	divs: -24762/-85 = 291
modu: 40774%65451 = 40774	mods: -24762%-85 = -27
divu: 28310/65038 = 0	divs: 28310/-498 = -56
modu: 28310%65038 = 28310	mods: 28310%-498 = 422
divu: 23526/65321 = 0	divs: 23526/-215 = -109
modu: 23526%65321 = 23526	mods: 23526%-215 = 91
divu: 42806/65532 = 0	divs: -22730/-4 = 5682
modu: 42806%65532 = 42806	mods: -22730%-4 = -2
divu: 36998/392 = 94	divs: -28538/392 = -72
modu: 36998%392 = 150	mods: -28538%392 = -314
divu: 22486/203 = 110	divs: 22486/203 = 110
modu: 22486%203 = 156	mods: 22486%203 = 156
divu: 15654/65222 = 0	divs: 15654/-314 = -49
modu: 15654%65222 = 15654	mods: 15654%-314 = 268
divu: 32886/121 = 271	divs: -32650/121 = -269
modu: 32886%121 = 95	mods: -32650%121 = -101
divu: 25030/65253 = 0	divs: 25030/-283 = -88
modu: 25030%65253 = 25030	mods: 25030%-283 = 126
divu: 8470/65288 = 0	divs: 8470/-248 = -34
modu: 8470%65288 = 8470	mods: 8470%-248 = 38
divu: 65126/483 = 134	divs: -410/483 = 0
modu: 65126%483 = 404	mods: -410%483 = -410
divu: 14774/118 = 125	divs: 14774/118 = 125
modu: 14774%118 = 24	mods: 14774%118 = 24
divu: 4870/65474 = 0	divs: 4870/-62 = -78
modu: 4870%65474 = 4870	mods: 4870%-62 = 34
divu: 51798/197 = 262	divs: -13738/197 = -69
modu: 51798%197 = 184	mods: -13738%197 = -145
divu: 40870/128 = 319	divs: -24666/128 = -192
modu: 40870%128 = 38	mods: -24666%128 = -90
divu: 54006/65523 = 0	divs: -11530/-13 = 886
modu: 54006%65523 = 54006	mods: -11530%-13 = -12
divu: 42054/31 = 1356	divs: -23482/31 = -757
modu: 42054%31 = 18	mods: -23482%31 = -15
divu: 21398/65026 = 0	divs: 21398/-510 = -41
modu: 21398%65026 = 21398	mods: 21398%-510 = 488
divu: 8422/65181 = 0	divs: 8422/-355 = -23
modu: 8422%65181 = 8422	mods: 8422%-355 = 257
divu: 19510/65264 = 0	divs: 19510/-272 = -71
modu: 19510%65264 = 19510	mods: 19510%-272 = 198
divu: 5510/65532 = 0	divs: 5510/-4 = -1377
modu: 5510%65532 = 5510	mods: 5510%-4 = 2
divu: 48342/65215 = 0	divs: -17194/-321 = 53
modu: 48342%65215 = 48342	mods: -17194%-321 = -181
divu: 33318/58 = 574	divs: -32218/58 = -555
modu: 33318%58 = 26	mods: -32218%58 = -28
divu: 42358/365 = 116	divs: -23178/365 = -63
modu: 42358%365 = 18	mods: -23178%365 = -183
divu: 26310/65369 = 0	divs: 26310/-167 = -157
modu: 26310%65369 = 26310	mods: 26310%-167 = 91
divu: 1558/65276 = 0	divs: 1558/-260 = -5
modu: 1558%65276 = 1558	mods: 1558%-260 = 258
divu: 50022/343 = 145	divs: -15514/343 = -45
modu: 50022%343 = 287	mods: -15514%343 = -79
divu: 57014/65386 = 0	divs: -8522/-150 = 56
modu: 57014%65386 = 57014	mods: -8522%-150 = -122
divu: 38918/65078 = 0	divs: -26618/-458 = 58
modu: 38918%65078 = 38918	mods: -26618%-458 = -54
divu: 12118/65209 = 0	divs: 12118/-327 = -37
modu: 12118%65209 = 12118	mods: 12118%-327 = 19
divu: 58534/500 = 117	divs: -7002/500 = -14
modu: 58534%500 = 34	mods: -7002%500 = -2
divu: 63478/231 = 274	divs: -2058/231 = -8
modu: 63478%231 = 184	mods: -2058%231 = -210
divu: 43334/147 = 294	divs: -22202/147 = -151
modu: 43334%147 = 116	mods: -22202%147 = -5
divu: 14486/502 = 28	divs: 14486/502 = 28
modu: 14486%502 = 430	mods: 14486%502 = 430
divu: 58854/65041 = 0	divs: -6682/-495 = 13
modu: 58854%65041 = 58854	mods: -6682%-495 = -247
divu: 61750/484 = 127	divs: -3786/484 = -7
modu: 61750%484 = 282	mods: -3786%484 = -398
divu: 39558/65136 = 0	divs: -25978/-400 = 64
modu: 39558%65136 = 39558	mods: -25978%-400 = -378
divu: 8662/179 = 48	divs: 8662/179 = 48
modu: 8662%179 = 70	mods: 8662%179 = 70
divu: 50982/430 = 118	divs: -14554/430 = -33
modu: 50982%430 = 242	mods: -14554%430 = -364
divu: 51830/65121 = 0	divs: -13706/-415 = 33
modu: 51830%65121 = 51830	mods: -13706%-415 = -11
divu: 27590/65485 = 0	divs: 27590/-51 = -540
modu: 27590%65485 = 27590	mods: 27590%-51 = 50
divu: 60182/65264 = 0	divs: -5354/-272 = 19
modu: 60182%65264 = 60182	mods: -5354%-272 = -186
divu: 34918/203 = 172	divs: -30618/203 = -150
modu: 34918%203 = 2	mods: -30618%203 = -168
divu: 33718/65118 = 0	divs: -31818/-418 = 76
modu: 33718%65118 = 33718	mods: -31818%-418 = -50
divu: 7430/170 = 43	divs: 7430/170 = 43
modu: 7430%170 = 120	mods: 7430%170 = 120
divu: 37974/173 = 219	divs: -27562/173 = -159
modu: 37974%173 = 87	mods: -27562%173 = -55
divu: 10662/65384 = 0	divs: 10662/-152 = -70
modu: 10662%65384 = 10662	mods: 10662%-152 = 22
divu: 7414/475 = 15	divs: 7414/475 = 15
modu: 7414%475 = 289	mods: 7414%475 = 289
divu: 44614/263 = 169	divs: -20922/263 = -79
modu: 44614%263 = 167	mods: -20922%263 = -145
divu: 7574/490 = 15	divs: 7574/490 = 15
modu: 7574%490 = 224	mods: 7574%490 = 224
divu: 43750/389 = 112	divs: -21786/389 = -56
modu: 43750%389 = 182	mods: -21786%389 = -2
divu: 38454/216 = 178	divs: -27082/216 = -125
modu: 38454%216 = 6	mods: -27082%216 = -82
divu: 8070/228 = 35	divs: 8070/228 = 35
modu: 8070%228 = 90	mods: 8070%228 = 90
divu: 34518/65191 = 0	divs: -31018/-345 = 89
modu: 34518%65191 = 34518	mods: -31018%-345 = -313
divu: 3110/65314 = 0	divs: 3110/-222 = -14
modu: 3110%65314 = 3110	mods: 3110%-222 = 2
divu: 61302/65365 = 0	divs: -4234/-171 = 24
modu: 61302%65365 = 61302	mods: -4234%-171 = -130
divu: 28870/65 = 444	divs: 28870/65 = 444
modu: 28870%65 = 10	mods: 28870%65 = 10
divu: 53270/65252 = 0	divs: -12266/-284 = 43
modu: 53270%65252 = 53270	mods: -12266%-284 = -54
divu: 19814/63 = 314	divs: 19814/63 = 314
modu: 19814%63 = 32	mods: 19814%63 = 32
divu: 10422/338 = 30	divs: 10422/338 = 30
modu: 10422%338 = 282	mods: 10422%338 = 282
divu: 41478/65310 = 0	divs: -24058/-226 = 106
modu: 41478%65310 = 41478	mods: -24058%-226 = -102
divu: 63830/65185 = 0	divs: -1706/-351 = 4
modu: 63830%65185 = 63830	mods: -1706%-351 = -302
divu: 28326/220 = 128	divs: 28326/220 = 128
modu: 28326%220 = 166	mods: 28326%220 = 166
divu: 16886/65231 = 0	divs: 16886/-305 = -55
modu: 16886%65231 = 16886	mods: 16886%-305 = 111
divu: 45894/379 = 121	divs: -19642/379 = -51
modu: 45894%379 = 35	mods: -19642%379 = -313
divu: 662/478 = 1	divs: 662/478 = 1
modu: 662%478 = 184	mods: 662%478 = 184
divu: 28646/249 = 115	divs: 28646/249 = 115
modu: 28646%249 = 11	mods: 28646%249 = 11
divu: 15158/65484 = 0	divs: 15158/-52 = -291
modu: 15158%65484 = 15158	mods: 15158%-52 = 26
divu: 42118/65368 = 0	divs: -23418/-168 = 139
modu: 42118%65368 = 42118	mods: -23418%-168 = -66
divu: 60374/155 = 389	divs: -5162/155 = -33
modu: 60374%155 = 79	mods: -5162%155 = -47
divu: 20774/150 = 138	divs: 20774/150 = 138
modu: 20774%150 = 74	mods: 20774%150 = 74
divu: 5238/73 = 71	divs: 5238/73 = 71
modu: 5238%73 = 55	mods: 5238%73 = 55
divu: 30150/181 = 166	divs: 30150/181 = 166
modu: 30150%181 = 104	mods: 30150%181 = 104
divu: 46358/65240 = 0	divs: -19178/-296 = 64
modu: 46358%65240 = 46358	mods: -19178%-296 = -234
divu: 4710/65459 = 0	divs: 4710/-77 = -61
modu: 4710%65459 = 4710	mods: 4710%-77 = 13
divu: 52662/70 = 752	divs: -12874/70 = -183
modu: 52662%70 = 22	mods: -12874%70 = -64
divu: 9990/402 = 24	divs: 9990/402 = 24
modu: 9990%402 = 342	mods: 9990%402 = 342
divu: 24150/149 = 162	divs: 24150/149 = 162
modu: 24150%149 = 12	mods: 24150%149 = 12
divu: 45990/65104 = 0	divs: -19546/-432 = 45
modu: 45990%65104 = 45990	mods: -19546%-432 = -106
divu: 26358/65475 = 0	divs: 26358/-61 = -432
modu: 26358%65475 = 26358	mods: 26358%-61 = 6
divu: 47174/495 = 95	divs: -18362/495 = -37
modu: 47174%495 = 149	mods: -18362%495 = -47
divu: 59286/466 = 127	divs: -6250/466 = -13
modu: 59286%466 = 104	mods: -6250%466 = -192
divu: 13542/109 = 124	divs: 13542/109 = 124
modu: 13542%109 = 26	mods: 13542%109 = 26
divu: 57398/65216 = 0	divs: -8138/-320 = 25
modu: 57398%65216 = 57398	mods: -8138%-320 = -138
divu: 10630/460 = 23	divs: 10630/460 = 23
modu: 10630%460 = 50	mods: 10630%460 = 50
divu: 20694/65167 = 0	divs: 20694/-369 = -56
modu: 20694%65167 = 20694	mods: 20694%-369 = 30
divu: 38438/65034 = 0	divs: -27098/-502 = 53
modu: 38438%65034 = 38438	mods: -27098%-502 = -492
divu: 14710/317 = 46	divs: 14710/317 = 46
modu: 14710%317 = 128	mods: 14710%317 = 128
divu: 31430/297 = 105	divs: 31430/297 = 105
modu: 31430%297 = 245	mods: 31430%297 = 245
divu: 39446/65228 = 0	divs: -26090/-308 = 84
modu: 39446%65228 = 39446	mods: -26090%-308 = -218
divu: 55142/65319 = 0	divs: -10394/-217 = 47
modu: 55142%65319 = 55142	mods: -10394%-217 = -195
divu: 29366/65338 = 0	divs: 29366/-198 = -148
modu: 29366%65338 = 29366	mods: 29366%-198 = 62
divu: 44038/6 = 7339	divs: -21498/6 = -3583
modu: 44038%6 = 4	mods: -21498%6 = 0
divu: 50006/65161 = 0	divs: -15530/-375 = 41
modu: 50006%65161 = 50006	mods: -15530%-375 = -155
divu: 63654/65476 = 0	divs: -1882/-60 = 31
modu: 63654%65476 = 63654	mods: -1882%-60 = -22
divu: 35830/183 = 195	divs: -29706/183 = -162
modu: 35830%183 = 145	mods: -29706%183 = -60
divu: 48454/65123 = 0	divs: -17082/-413 = 41
modu: 48454%65123 = 48454	mods: -17082%-413 = -149
divu: 52374/454 = 115	divs: -13162/454 = -28
modu: 52374%454 = 164	mods: -13162%454 = -450
divu: 63974/65505 = 0	divs: -1562/-31 = 50
modu: 63974%65505 = 63974	mods: -1562%-31 = -12
divu: 34102/436 = 78	divs: -31434/436 = -72
modu: 34102%436 = 94	mods: -31434%436 = -42
divu: 44678/64 = 698	divs: -20858/64 = -325
modu: 44678%64 = 6	mods: -20858%64 = -58
divu: 46550/131 = 355	divs: -18986/131 = -144
modu: 46550%131 = 45	mods: -18986%131 = -122
divu: 56102/65406 = 0	divs: -9434/-130 = 72
modu: 56102%65406 = 56102	mods: -9434%-130 = -74
divu: 24182/65073 = 0	divs: 24182/-463 = -52
modu: 24182%65073 = 24182	mods: 24182%-463 = 106
divu: 32710/413 = 79	divs: 32710/413 = 79
modu: 32710%413 = 83	mods: 32710%413 = 83
divu: 32534/65216 = 0	divs: 32534/-320 = -101
modu: 32534%65216 = 32534	mods: 32534%-320 = 214
divu: 40038/65179 = 0	divs: -25498/-357 = 71
modu: 40038%65179 = 40038	mods: -25498%-357 = -151
divu: 6070/65070 = 0	divs: 6070/-466 = -13
modu: 6070%65070 = 6070	mods: 6070%-466 = 12
divu: 12550/65146 = 0	divs: 12550/-390 = -32
modu: 12550%65146 = 12550	mods: 12550%-390 = 70
divu: 10326/125 = 82	divs: 10326/125 = 82
modu: 10326%125 = 76	mods: 10326%125 = 76
divu: 15782/312 = 50	divs: 15782/312 = 50
modu: 15782%312 = 182	mods: 15782%312 = 182
divu: 45302/427 = 106	divs: -20234/427 = -47
modu: 45302%427 = 40	mods: -20234%427 = -165
divu: 49734/65239 = 0	divs: -15802/-297 = 53
modu: 49734%65239 = 49734	mods: -15802%-297 = -61
divu: 45462/442 = 102	divs: -20074/442 = -45
modu: 45462%442 = 378	mods: -20074%442 = -184
divu: 48870/65365 = 0	divs: -16666/-171 = 97
modu: 48870%65365 = 48870	mods: -16666%-171 = -79
divu: 10806/168 = 64	divs: 10806/168 = 64
modu: 10806%168 = 54	mods: 10806%168 = 54
divu: 13190/65204 = 0	divs: 13190/-332 = -39
modu: 13190%65204 = 13190	mods: 13190%-332 = 242
divu: 6870/65143 = 0	divs: 6870/-393 = -17
modu: 6870%65143 = 6870	mods: 6870%-393 = 189
divu: 8230/242 = 34	divs: 8230/242 = 34
modu: 8230%242 = 2	mods: 8230%242 = 2
divu: 33654/65317 = 0	divs: -31882/-219 = 145
modu: 33654%65317 = 33654	mods: -31882%-219 = -127
divu: 33990/65041 = 0	divs: -31546/-495 = 63
modu: 33990%65041 = 33990	mods: -31546%-495 = -361
divu: 25622/65204 = 0	divs: 25622/-332 = -77
modu: 25622%65204 = 25622	mods: 25622%-332 = 58
divu: 24934/65039 = 0	divs: 24934/-497 = -50
modu: 24934%65039 = 24934	mods: 24934%-497 = 84
